Country,id,Source,Food_source_percentage,Recovered
French Polynesia, PYF,Milk - Excluding Butter,2.7364,30
French Polynesia, PYF,Oilcrops,2.4457,30
French Polynesia, PYF,Starchy Roots,1.9155,30
French Polynesia, PYF,Sugar & Sweeteners,3.5574,30
French Polynesia, PYF,Vegetal Products,34.941,30
French Polynesia, PYF,Vegetable Oils,5.3019,30
Grenada, GRD,Alcoholic Beverages,1.9979,48
Grenada, GRD,Animal Products,12.2581,48
Grenada, GRD,Animal fats,0.7284,48
Grenada, GRD,Cereals - Excluding Beer,13.7565,48
Grenada, GRD,Fruits - Excluding Wine,3.5588,48
Grenada, GRD,Meat,5.7648,48
Grenada, GRD,Milk - Excluding Butter,3.8085,48
Grenada, GRD,Oilcrops,1.1863,48
Grenada, GRD,Starchy Roots,1.1446,48
Grenada, GRD,Sugar & Sweeteners,7.9084,48
Grenada, GRD,Vegetal Products,37.7523,48
Grenada, GRD,Vegetable Oils,4.9116,48
Honduras, HND,Alcoholic Beverages,0.7052,46
Honduras, HND,Animal Products,6.7385,46
Honduras, HND,Animal fats,0.6464,46
Honduras, HND,Cereals - Excluding Beer,23.3301,46
Honduras, HND,Fruits - Excluding Wine,1.5475,46
Honduras, HND,Meat,2.8991,46
Honduras, HND,Milk - Excluding Butter,2.7032,46
Honduras, HND,Oilcrops,0.1763,46
Honduras, HND,Starchy Roots,0.2938,46
Honduras, HND,Sugar & Sweeteners,8.5406,46
Honduras, HND,Vegetal Products,43.2517,46
Honduras, HND,Vegetable Oils,5.4848,46
Hungary, HUN,Alcoholic Beverages,3.0432,30
Hungary, HUN,Animal Products,16.0682,30
Hungary, HUN,Animal fats,5.28,30
Hungary, HUN,Cereals - Excluding Beer,13.4206,30
Hungary, HUN,Fruits - Excluding Wine,1.0347,30
Hungary, HUN,Meat,5.9038,30
Hungary, HUN,Milk - Excluding Butter,3.8649,30
Hungary, HUN,Oilcrops,0.1978,30
Hungary, HUN,Starchy Roots,1.339,30
Hungary, HUN,Sugar & Sweeteners,5.3408,30
Hungary, HUN,Vegetal Products,33.9318,30
Hungary, HUN,Vegetable Oils,7.4863,30
Ireland, IRL,Alcoholic Beverages,3.2284,30
Ireland, IRL,Animal Products,14.0167,30
Ireland, IRL,Animal fats,2.9997,30
Ireland, IRL,Cereals - Excluding Beer,14.4471,30
Ireland, IRL,Fruits - Excluding Wine,1.8832,30
Ireland, IRL,Meat,5.0982,30
Ireland, IRL,Milk - Excluding Butter,4.5601,30
Ireland, IRL,Oilcrops,0.3901,30
Ireland, IRL,Starchy Roots,1.7487,30
Ireland, IRL,Sugar & Sweeteners,6.0533,30
Ireland, IRL,Vegetal Products,35.9833,30
Ireland, IRL,Vegetable Oils,5.4479,30
Lithuania, LTU,Alcoholic Beverages,3.3192,44
Lithuania, LTU,Animal Products,15.4409,44
Lithuania, LTU,Animal fats,2.6612,44
Lithuania, LTU,Cereals - Excluding Beer,15.7187,44
Lithuania, LTU,Fruits - Excluding Wine,1.1698,44
Lithuania, LTU,Meat,5.7757,44
Lithuania, LTU,Milk - Excluding Butter,5.0592,44
Lithuania, LTU,Oilcrops,0.3071,44
Lithuania, LTU,Starchy Roots,1.3306,44
Lithuania, LTU,Sugar & Sweeteners,6.1705,44
Lithuania, LTU,Vegetal Products,34.5518,44
Lithuania, LTU,Vegetable Oils,3.5093,44
Uganda, UGA,Alcoholic Beverages,1.7949,35
Uganda, UGA,Animal Products,3.8462,35
Uganda, UGA,Animal fats,0.1865,35
Uganda, UGA,Cereals - Excluding Beer,13.8462,35
Uganda, UGA,Fruits - Excluding Wine,6.6667,35
Uganda, UGA,Meat,1.4918,35
Uganda, UGA,Milk - Excluding Butter,1.5152,35
Uganda, UGA,Oilcrops,1.7016,35
Uganda, UGA,Starchy Roots,8.7413,35
Uganda, UGA,Sugar & Sweeteners,2.6573,35
Uganda, UGA,Vegetal Products,46.1538,35
Uganda, UGA,Vegetable Oils,4.6154,35
United Republic of Tanzania, TZA,Alcoholic Beverages,1.0643,36
United Republic of Tanzania, TZA,Animal Products,2.7337,36
United Republic of Tanzania, TZA,Animal fats,0.313,36
United Republic of Tanzania, TZA,Cereals - Excluding Beer,20.409,36
United Republic of Tanzania, TZA,Fruits - Excluding Wine,2.5042,36
United Republic of Tanzania, TZA,Meat,0.9182,36
United Republic of Tanzania, TZA,Milk - Excluding Butter,1.1895,36
United Republic of Tanzania, TZA,Oilcrops,2.2329,36
United Republic of Tanzania, TZA,Starchy Roots,7.5751,36
United Republic of Tanzania, TZA,Sugar & Sweeteners,2.4207,36
United Republic of Tanzania, TZA,Vegetal Products,47.2663,36
United Republic of Tanzania, TZA,Vegetable Oils,5.3631,36
Mongolia, MNG,Alcoholic Beverages,1.5398,50
Mongolia, MNG,Animal Products,20.3754,50
Mongolia, MNG,Animal fats,2.0038,50
Mongolia, MNG,Cereals - Excluding Beer,18.7724,50
Mongolia, MNG,Fruits - Excluding Wine,0.3375,50
Mongolia, MNG,Meat,10.5674,50
Mongolia, MNG,Milk - Excluding Butter,6.6231,50
Mongolia, MNG,Oilcrops,0.0633,50
Mongolia, MNG,Starchy Roots,1.2234,50
Mongolia, MNG,Sugar & Sweeteners,2.9319,50
Mongolia, MNG,Vegetal Products,29.6351,50
Mongolia, MNG,Vegetable Oils,2.9319,50
Albania, ALB,Alcoholic Beverages,0.912,52
Albania, ALB,Animal Products,16.093,52
Albania, ALB,Animal fats,1.0591,52
Albania, ALB,Cereals - Excluding Beer,16.2107,52
Albania, ALB,Fruits - Excluding Wine,3.8982,52
Albania, ALB,Meat,3.8688,52
Albania, ALB,Milk - Excluding Butter,9.9441,52
Albania, ALB,Oilcrops,1.0886,52
Albania, ALB,Starchy Roots,1.2651,52
Albania, ALB,Sugar & Sweeteners,3.4422,52
Albania, ALB,Vegetal Products,33.907,52
Albania, ALB,Vegetable Oils,2.8244,52
Angola, AGO,Alcoholic Beverages,1.9388,56
Angola, AGO,Animal Products,4.6927,56
Angola, AGO,Animal fats,0.2644,56
Angola, AGO,Cereals - Excluding Beer,18.3521,56
Angola, AGO,Fruits - Excluding Wine,2.3133,56
Angola, AGO,Meat,2.9302,56
Angola, AGO,Milk - Excluding Butter,0.5067,56
Angola, AGO,Oilcrops,1.0795,56
Angola, AGO,Starchy Roots,12.6239,56
Angola, AGO,Sugar & Sweeteners,2.7539,56
Angola, AGO,Vegetal Products,45.3184,56
Angola, AGO,Vegetable Oils,4.2741,56
Bulgaria, BGR,Alcoholic Beverages,3.6782,50
Bulgaria, BGR,Animal Products,12.29,50
Bulgaria, BGR,Animal fats,2.458,50
Bulgaria, BGR,Cereals - Excluding Beer,17.931,50
Bulgaria, BGR,Fruits - Excluding Wine,1.7683,50
Bulgaria, BGR,Meat,4.3148,50
Bulgaria, BGR,Milk - Excluding Butter,4.3855,50
Bulgaria, BGR,Oilcrops,0.6366,50
Bulgaria, BGR,Starchy Roots,0.9019,50
Bulgaria, BGR,Sugar & Sweeteners,4.6508,50
Bulgaria, BGR,Vegetal Products,37.7188,50
Bulgaria, BGR,Vegetable Oils,5.252,50
Niger, NER,Alcoholic Beverages,0.0194,55
Niger, NER,Animal Products,3.4122,55
Niger, NER,Animal fats,0.4847,55
Niger, NER,Cereals - Excluding Beer,31.0585,55
Niger, NER,Fruits - Excluding Wine,0.8337,55
Niger, NER,Meat,1.0857,55
Niger, NER,Milk - Excluding Butter,1.6479,55
Niger, NER,Oilcrops,3.2571,55
Niger, NER,Starchy Roots,0.6979,55
Niger, NER,Sugar & Sweeteners,0.6786,55
Niger, NER,Vegetal Products,46.5878,55
Niger, NER,Vegetable Oils,1.8806,55
